shape,disturbance,dtw_seds,dtw_seds_clf,dtw_l1_seds,norm_seds,norm_seds_clf,norm_l1_seds
GShape,with_llc_matched_const,297.9169657525542,48.18349975080415,14.72936108127819,1.0,0.16173466196894848,0.04944116238587164
GShape,with_llc_matched_multisine,289.8641948580709,49.1471775114498,15.646616017985803,1.0,0.16955242621640185,0.05397912641693125
GShape,with_llc_matched_multisine_unmatched_pulse,1522.3752462524794,484.3413433830262,143.07426677033328,1.0,0.3181484621319836,0.09398094663094977
GShape,with_llc_matched_pulse,303.5307942351591,53.33581046979684,16.057287328367384,1.0,0.17571795508983898,0.052901674668063746
GShape,with_llc_unmatched_chirp,1399.7450884331997,770.9649433502044,459.32244763031633,1.0,0.5507895328378553,0.3281472115358215
GShape,with_llc_unmatched_const,3280.2272354965166,1110.9775503839235,122.80855653188124,1.0,0.33868920371175404,0.03743903934548368
GShape,with_llc_unmatched_multisine,494.2302790807166,204.7885240045959,118.08906644910452,1.0,0.4143585139815974,0.2389353130462864
GShape,with_llc_unmatched_pulse,1521.9705854158403,481.1265402352441,141.75498583007723,1.0,0.316120787645701,0.09313911003828385
PShape,no_llc_pulses,43003.47822563001,5650.485546407499,572.1016040317771,1.0,0.13139601212628932,0.013303612350379728
PShape,with_llc_matched_chirp,153.6186260494347,44.51399841866214,19.07173770104016,1.0,0.2897695387819539,0.12414990415877594
PShape,with_llc_matched_const,174.59629154225414,37.253092740122334,13.963851358762886,1.0,0.2133670332345329,0.0799779378783855
PShape,with_llc_matched_multisine,178.35650486504656,39.14165672179193,15.344467031525726,1.0,0.21945741060248106,0.08603256182406196
PShape,with_llc_matched_multisine_unmatched_pulse,1378.0060208826724,439.4347568279734,133.5028768001574,1.0,0.31889175385931656,0.0968811999200432
PShape,with_llc_matched_pulse,176.49231087719943,42.36247954237722,15.182680871387335,1.0,0.24002450493071265,0.08602460240860695
PShape,with_llc_unmatched_chirp,1513.062466665682,701.3044130569061,419.59140141466054,1.0,0.4634999734031883,0.27731267588661374
PShape,with_llc_unmatched_const,2415.536908822702,951.5049220998455,108.57608442570258,1.0,0.3939103222246334,0.04494904798561782
PShape,with_llc_unmatched_multisine,509.4977281373972,209.48109420856224,121.82232971865797,1.0,0.41115216543629235,0.23910279279166072
PShape,with_llc_unmatched_pulse,1374.6352358623737,440.23777217559723,133.22088653952696,1.0,0.3202578841938496,0.09691362702189951
Sine,no_llc_pulses,71885.81345236854,5596.094117773859,738.9367821565244,1.0,0.07784698884268486,0.010279313075397596
Sine,with_llc_matched_chirp,155.9641280254585,52.87236379787948,25.884393894451378,1.0,0.33900336229398187,0.16596376501541552
Sine,with_llc_matched_const,166.8610827483225,49.37608338944506,20.478753811798725,1.0,0.29591132081960225,0.12272935950371928
Sine,with_llc_matched_multisine,168.86609193560636,49.97614641628799,21.60833242684551,1.0,0.29595134134652307,0.12796134605332968
Sine,with_llc_matched_multisine_unmatched_pulse,1884.4026488893833,487.33393855352574,140.48673539737754,1.0,0.2586145476078307,0.07455239753572661
Sine,with_llc_matched_pulse,166.40386366066562,52.20484621142921,21.14905764714876,1.0,0.3137237625556968,0.12709475117883307
Sine,with_llc_unmatched_chirp,1224.7423559193628,726.9084244278492,452.4665571154923,1.0,0.5935194622073714,0.36943815564853605
Sine,with_llc_unmatched_const,11277.806853883923,1073.5816873321187,121.24877278115228,1.0,0.09519418990248017,0.010751094991434071
Sine,with_llc_unmatched_multisine,498.1828287360329,217.60896511153052,122.93025696425715,1.0,0.4368054307765649,0.24675731453079242
Sine,with_llc_unmatched_pulse,1875.9504494456105,487.6492284632382,140.45829222779358,1.0,0.25994781930799427,0.07487313551874596
Snake,no_llc_pulses,70007.70546513314,7186.427460514271,5158.630327061612,1.0,0.10265194970707077,0.07368660767821954
Snake,with_llc_matched_chirp,107.3823691947431,35.50607619483863,14.714009428303596,1.0,0.33065089233081313,0.1370244439440429
Snake,with_llc_matched_const,93.37854838170672,26.712960279188085,10.4519536404342,1.0,0.2860717021429011,0.11193099294828816
Snake,with_llc_matched_multisine,86.95122408501777,27.142836800537935,11.601871140832882,1.0,0.312161641036803,0.1334296470569407
Snake,with_llc_matched_multisine_unmatched_pulse,8746.579946564727,3836.9402008546663,176.60512531743942,1.0,0.4386789149925564,0.020191334944214642
Snake,with_llc_matched_pulse,115.14228770188967,32.51726201054769,12.692523211426236,1.0,0.28240937938228955,0.11023337702207155
Snake,with_llc_unmatched_chirp,1232.308174108947,731.5177974450587,421.5982201060485,1.0,0.5936159580974961,0.34212076894718013
Snake,with_llc_unmatched_const,15372.143015415393,6526.137119369803,712.4283816258403,1.0,0.42454309154067227,0.0463454172207094
Snake,with_llc_unmatched_multisine,336.6155077893054,192.33764611642093,107.91999223296304,1.0,0.5713867652134703,0.3206031502877532
Snake,with_llc_unmatched_pulse,8769.15284752916,3946.137615463725,179.39038809240208,1.0,0.45000214776454817,0.02045698041891789
Sshape,no_llc_pulses,68586.1447423654,5380.9284088652375,414.56680122069207,1.0,0.0784550353293361,0.006044468642725966
Sshape,with_llc_matched_chirp,201.6380974213254,84.77647293672419,45.85453310087614,1.0,0.4204387663883907,0.22741006628852733
Sshape,with_llc_matched_const,176.59721557057824,73.91711662579992,39.444333656173185,1.0,0.41856331871924934,0.2233576193641003
Sshape,with_llc_matched_multisine,178.46336681790726,76.25222331431694,41.012475736205666,1.0,0.4272710118268691,0.22980893203730826
Sshape,with_llc_matched_multisine_unmatched_pulse,1414.9388369809897,441.6554895357859,136.2777416449305,1.0,0.31213751293881525,0.09631352118067663
Sshape,with_llc_matched_pulse,186.37608821911417,79.63843638809028,41.89616091766235,1.0,0.42729964529818265,0.22479364878828703
Sshape,with_llc_unmatched_chirp,9500.445704838987,850.1714332034595,498.685645940234,1.0,0.0894875313871254,0.05249076321611226
Sshape,with_llc_unmatched_const,4677.708857912763,723.7590112459291,104.16063128725897,1.0,0.15472510864408032,0.022267446404036443
Sshape,with_llc_unmatched_multisine,481.3049741986652,264.98944556558985,154.672391329918,1.0,0.5505645272143226,0.32136046710806454
Sshape,with_llc_unmatched_pulse,1414.5426580618225,440.88639359567486,135.51494494710604,1.0,0.31168122861686504,0.09580124301997782
WShape,no_llc_pulses,132318.60102367628,5234.5876993791435,548.9412109862923,1.0,0.03956048249363291,0.004148632216025834
WShape,with_llc_matched_chirp,9737.250058177055,66.80186086791439,35.58464202114119,1.0,0.006860444218726431,0.00365448579512018
WShape,with_llc_matched_const,9903.125035878646,60.54223631881923,29.79116091291219,1.0,0.0061134476339011175,0.0030082585855454665
WShape,with_llc_matched_multisine,9928.871765868706,63.516965338563544,31.184602963871274,1.0,0.006397198678394479,0.0031408002539695247
WShape,with_llc_matched_multisine_unmatched_pulse,10206.433692620883,544.7561788621538,155.0471555228974,1.0,0.05337380276677889,0.015191119659650996
WShape,with_llc_matched_pulse,9965.905390399936,65.94585083497127,32.07086599696637,1.0,0.0066171459843975934,0.0032180584443295976
WShape,with_llc_unmatched_chirp,1292.0117090511867,650.5438013933318,430.7588106191345,1.0,0.5035123109457507,0.3334016306519934
WShape,with_llc_unmatched_const,9041.816358331647,1006.1311314877556,117.39581914396942,1.0,0.11127533358501014,0.012983654444142099
