disturbance,node_mean,node_var,node+clf_mean,node+clf_var,l1-node_mean,l1-node_var,num_shapes
no_llc_pulses,1.0,0.0,0.930931342591083,0.00117958393065448,0.9353786163844375,0.006912298930471051,4
with_llc_matched_multisine,1.0,0.0,0.9679942678329707,0.0019991904042141696,0.9361598355348917,0.003049842657895612,4
with_llc_matched_multisine_unmatched_pulse,1.0,0.0,0.9685437346565604,0.0020162907236799354,0.918570237862762,0.0006736289905203523,4
with_llc_unmatched_chirp,1.0,0.0,0.9371476018494684,0.0031689449032218284,0.9078824725793369,0.004636829574607233,4
with_llc_unmatched_const,1.0,0.0,0.5237055959726713,0.039494317728353115,0.25433852828343323,0.07343200108336699,4
with_llc_unmatched_multisine,1.0,0.0,0.9892551435954097,0.0010644440568734332,0.9790714312915887,0.002801155562481492,4
with_llc_unmatched_pulse,1.0,0.0,0.9685447552292941,0.002017213354938476,0.9185814119860802,0.0006738707811900932,4
