disturbance,node_mean,node_var,node+clf_mean,node+clf_var,l1-node_mean,l1-node_var,num_shapes
no_llc_pulses,1.0,0.0,0.7177829576548951,0.04390796633206139,0.465377485334895,0.08634652612122408,4
with_llc_matched_chirp,1.0,0.0,0.7204785331190064,0.07890343918603783,0.593330963955214,0.08238872109071535,4
with_llc_matched_const,1.0,0.0,0.7206130328120202,0.0789909141179984,0.593857347760011,0.08221055009918267,4
with_llc_matched_multisine,1.0,0.0,0.7205506316488164,0.07890928646683915,0.5933903245347888,0.08222779922216535,4
with_llc_matched_multisine_unmatched_pulse,1.0,0.0,0.6293084650615668,0.003237621334643308,0.3902856076365236,0.035811034644226275,4
with_llc_matched_pulse,1.0,0.0,0.7206759141440873,0.07886778450452787,0.5940652347362178,0.08232032377054622,4
with_llc_unmatched_chirp,1.0,0.0,0.6403128888902847,0.02884854167044361,0.29596299986117236,0.0399976316502225,4
with_llc_unmatched_const,1.0,0.0,0.43512639351263904,0.011055047803663606,0.053566133615266326,0.004711723788231501,4
with_llc_unmatched_multisine,1.0,0.0,0.5856906048266377,0.013023383549646989,0.39010224841395,0.033009646678751385,4
with_llc_unmatched_pulse,1.0,0.0,0.6293002281038077,0.003243844533229144,0.39020254106464125,0.03578876947660454,4
