disturbance,node_mean,node_var,node+clf_mean,node+clf_var,l1-node_mean,l1-node_var,num_shapes
no_llc_pulses,1.0,0.0,0.6273518374732464,0.02607000933417709,0.11803995469914592,0.002975240201808695,10
with_llc_matched_chirp,1.0,0.0,0.7090726558355355,0.11865663083391029,0.24560100055765105,0.02305239158335519,10
with_llc_matched_const,1.0,0.0,0.7069624538186157,0.11802937542961153,0.24453988487205044,0.022767370694617886,10
with_llc_matched_multisine,1.0,0.0,0.7072236440306844,0.11825750652199224,0.2446872440030266,0.022753898143910243,10
with_llc_matched_multisine_unmatched_pulse,1.0,0.0,0.6874629664034868,0.06549453623220403,0.24115892176541873,0.01938789411803961,10
with_llc_matched_pulse,1.0,0.0,0.7070220218776292,0.11723099894622785,0.244421140485223,0.02261409697063043,10
with_llc_unmatched_chirp,1.0,0.0,0.7314758221007462,0.131429981895985,0.30749372964020527,0.03410541744192589,10
with_llc_unmatched_const,1.0,0.0,0.628521540849736,0.03149380485853777,0.19663003699697953,0.01026924660130798,10
with_llc_unmatched_multisine,1.0,0.0,0.6947537293669326,0.1032110517767007,0.23704161816708408,0.019118997248247668,10
with_llc_unmatched_pulse,1.0,0.0,0.6872505070974613,0.06550210721088491,0.24099092771220726,0.01935762498832919,10
