disturbance,node_mean,node_var,node+clf_mean,node+clf_var,l1-node_mean,l1-node_var,num_shapes
no_llc_pulses,1.0,0.0,0.6931992024171775,0.06728341022120232,0.3964529207793981,0.022875752371013806,4
no_llc_zero,1.0,0.0,0.999995936467234,0.0,1.0000454142547046,0.0,1
with_llc_matched_chirp,1.0,0.0,0.6482234219742367,0.14793577487510218,0.536597714898456,0.11611473817067663,4
with_llc_matched_const,1.0,0.0,0.6485042311837045,0.14853678235771892,0.5366838191028811,0.11600490125295733,4
with_llc_matched_multisine,1.0,0.0,0.6480143909429155,0.1479498504505315,0.5365078532592443,0.11605065771134367,4
with_llc_matched_multisine_unmatched_pulse,1.0,0.0,0.4821879030422522,0.020285433348944646,0.21279564204431373,0.016849314007945804,4
with_llc_matched_pulse,1.0,0.0,0.6490102685249193,0.14835862478742934,0.5367582253964882,0.11619388814264962,4
with_llc_unmatched_chirp,1.0,0.0,0.46470760784290055,0.008730143615608683,0.2078551797928161,0.022812063603763404,4
with_llc_unmatched_const,1.0,0.0,0.39444219851032075,0.011920871470426602,0.04285353324177141,0.003089486849264303,4
with_llc_unmatched_multisine,1.0,0.0,0.45808083162656377,0.018027451862132213,0.3279118380579101,0.020764790770864173,4
with_llc_unmatched_pulse,1.0,0.0,0.48208052802225115,0.020259525682833495,0.21278180620054943,0.016845168657677587,4
