shape,disturbance,dtw_node,dtw_node_clf,dtw_l1_node,norm_node,norm_node_clf,norm_l1_node
Angle,no_llc_pulses,5602.378233304125,4030.014816662863,804.4533834051161,1.0,0.7193400104094851,0.143591408845431
Angle,with_llc_matched_chirp,804.5748960047705,607.8066377886253,198.88709629290835,1.0,0.7554382330430323,0.2471952546375858
Angle,with_llc_matched_const,771.9081090523615,580.4369503776363,197.33078706744584,1.0,0.7519508391875995,0.25564025659699363
Angle,with_llc_matched_multisine,776.376506796848,587.6978087576789,197.92529690453856,1.0,0.7569752608594323,0.25493468075319936
Angle,with_llc_matched_multisine_unmatched_pulse,1574.0664500176294,820.8855425222781,278.6342125839471,1.0,0.5215062823510941,0.17701553360776248
Angle,with_llc_matched_pulse,772.2258540404122,586.7130697924073,198.96367304040209,1.0,0.7597687473459072,0.2576495878756086
Angle,with_llc_unmatched_chirp,2577.5218347810583,1405.937015296938,217.72244579886942,1.0,0.5454607585958091,0.08446968047406021
Angle,with_llc_unmatched_const,2128.5626386748345,1207.7695999502644,219.4709328114539,1.0,0.5674108800021866,0.10310757542380267
Angle,with_llc_unmatched_multisine,759.4197035913647,580.300552027311,208.0018646334746,1.0,0.7641368129942073,0.2738957965533616
Angle,with_llc_unmatched_pulse,1571.3043375631971,819.158001459036,277.6980853472284,1.0,0.5213235793197126,0.17673093538193044
CShape,no_llc_pulses,4278.366322322628,2320.5074472174742,555.6989117587616,1.0,0.5423816644942464,0.1298857717861535
CShape,with_llc_matched_chirp,2796.083744086797,1616.7339548721054,380.8111758845115,1.0,0.5782137099045049,0.13619448154578956
CShape,with_llc_matched_const,2769.341134587793,1610.6746578539996,379.13666646134584,1.0,0.5816093357865582,0.13690500665523067
CShape,with_llc_matched_multisine,2773.353363803461,1612.6122363085378,378.8436351810408,1.0,0.5814665586274057,0.13660128569461596
CShape,with_llc_matched_multisine_unmatched_pulse,4757.019949092915,2466.1659425592666,475.4218694543715,1.0,0.5184266555429358,0.09994111324780687
CShape,with_llc_matched_pulse,2788.131337572902,1618.679089424278,379.7901770366204,1.0,0.5805605595442843,0.13621674557384078
CShape,with_llc_unmatched_chirp,3850.8318444151264,1763.4128797308122,439.8750327258779,1.0,0.4579303773776296,0.11422857462961672
CShape,with_llc_unmatched_const,3247.8043263571044,1661.6357945602856,428.4680113267004,1.0,0.5116181972773148,0.1319254389340909
