disturbance,node_mean,node_var,node+clf_mean,node+clf_var,l1-node_mean,l1-node_var,num_shapes
no_llc_pulses,1.0,0.0,0.6273518374732464,0.02607000933417709,0.11803995469914592,0.002975240201808695,10
with_llc_matched_chirp,1.0,0.0,0.706316607049741,0.11422304410549801,0.24338579523674939,0.022133079605248494,10
with_llc_matched_const,1.0,0.0,0.7069624538186157,0.11802937542961153,0.24453988487205044,0.022767370694617886,10
with_llc_matched_multisine,1.0,0.0,0.7080437682962286,0.11886882516887523,0.24433069842197858,0.022744535704589633,10
with_llc_matched_multisine_unmatched_pulse,1.0,0.0,0.5854594070972029,0.03120923147162583,0.1934829220463898,0.00903425040015936,10
with_llc_matched_pulse,1.0,0.0,0.7077972133051462,0.11623988236422737,0.24533612998473275,0.022711061287442207,10
with_llc_unmatched_chirp,1.0,0.0,0.5401989719129561,0.03723914047806385,0.1543888466009527,0.0068703322389083825,10
with_llc_unmatched_const,1.0,0.0,0.628521540849736,0.03149380485853777,0.19663003699697953,0.01026924660130798,10
with_llc_unmatched_multisine,1.0,0.0,0.6901004609888621,0.09797310305773729,0.24034910703158968,0.02200015642867391,10
with_llc_unmatched_pulse,1.0,0.0,0.5856697694069336,0.03145725588074892,0.1936669996478747,0.009107991711503335,10
